name,keyword
/dtdd/iphone-15,Pin  & Sạc Dung lượng pin 3349 mAh Loại pin Li-Ion Hỗ trợ sạc tối đa 20W Công nghệ Tiết kiệm pin Sạc pin nhanh Sạc không dây Tiết kiệm pin
/dtdd/iphone-15,Tiện ích Bảo mật nâng cao Mở khoá khuôn mặt Face ID Kháng nước IP68 Tính năng đặc biệt Phát hiện va chạm Crash Detection Loa kép Chạm 2 lần sáng màn hình Apple pay Màn hình luôn hiển thị AOD Công nghệ hình ảnh Dolby Vision Công nghệ HLG
/dtdd/iphone-15,Thông tin chung Thiết kế Nguyên khối Chất liệu Khung nhôm & Mặt lưng kính cường lực Thời điểm ra mắt 9/2023 Hãng IPhone
/dtdd/iphone-15-plus,Màn hình Công nghệ màn hình OLED Độ phân giải Super Retina XDR 1290x2796 pixel màn hình rộng 6.7 inch 60 HZ
/dtdd/iphone-15-plus,Camera sau Độ phân giải Chính 48 MP & 2 camera 12 MP Tính năng Zoom quang học Zoom kỹ thuật số Xóa phông Tự động lấy nét AF Trôi nhanh thời gian Time Lapse Toàn cảnh Quay chậm Nhận diện khuôn mặt Góc siêu rộng Góc rộng Deep Fusion Chống rung quang học Chạm lấy nét Ban đêm Góc siêu rộng Ultrawide Action mode
/dtdd/iphone-15-plus,Camera trước 12MP Xoá phông Tự động lấy nét Retinal Flash Quay video hd Quay video full hd Quay video 4K Quay chậm Nhận diện khuôn mặt Cinematic Chụp đêm
/dtdd/iphone-15-plus,Hệ điều hành và CPU Hệ điều hành IOS 17 Chip Apple A16 Bionic 6 nhân Tốc độ CPU 3.46 GHz Chip đồ họa Apple GPU 5 nhân
/dtdd/iphone-15-plus,Bộ nhớ & Lưu trữ RAM 6 GB Dung lượng lưu trữ 128 GB Dung lượng còn lại 113 GB
/dtdd/iphone-15-plus,Kết nối Mạng di động Hỗ trợ 5G SIM 1 Nano SIM & 1 eSIM Bluetooth 5.3 Cổng kết nối sạc TypeC Jack tai nghe TypeC Kết nối khác NFC
/dtdd/iphone-15-plus,Pin  & Sạc Dung lượng pin 4383 mAh Loại pin Li-Ion Hỗ trợ sạc tối đa 20 W Công nghệ Tiết kiệm pin Sạc pin nhanh Sạc không dây Tiết kiệm pin
/dtdd/iphone-15-plus,Tiện ích Bảo mật nâng cao Mở khoá khuôn mặt Face ID Kháng nước IP68 Tính năng đặc biệt Phát hiện va chạm Crash Detection Loa kép Chạm 2 lần sáng màn hình Apple pay Màn hình luôn hiển thị AOD Công nghệ hình ảnh Dolby Vision Công nghệ HLG
/dtdd/iphone-15-plus,Thông tin chung Thiết kế Nguyên khối Chất liệu Khung nhôm & Mặt lưng kính cường lực Thời điểm ra mắt 2023 Hãng IPhone
/dtdd/iphone-15-pro,Màn hình Công nghệ màn hình OLED Độ phân giải Super Retina XDR 1179x2556 pixel màn hình rộng 6.7 inch 120 HZ
/dtdd/iphone-15-pro,Camera sau Độ phân giải Chính 48 MP & 2 camera 12 MP Tính năng Zoom quang học Zoom kỹ thuật số Xóa phông Tự động lấy nét AF Trôi nhanh thời gian Time Lapse Toàn cảnh Quay chậm Nhận diện khuôn mặt Góc siêu rộng Góc rộng Deep Fusion Chống rung quang học Chạm lấy nét Ban đêm Góc siêu rộng Ultrawide Action mode
/dtdd/iphone-15-pro,Camera trước 12MP Xoá phông Tự động lấy nét Retinal Flash Quay video hd Quay video full hd Quay video 4K Quay chậm Nhận diện khuôn mặt Cinematic Chụp đêm
/dtdd/iphone-15-pro,Hệ điều hành và CPU Hệ điều hành IOS 17 Chip Apple A17 Pro 6 nhân Tốc độ CPU 3.78 GHz Chip đồ họa Apple GPU 6 nhân
/dtdd/iphone-15-pro,Bộ nhớ & Lưu trữ RAM 6 GB Dung lượng lưu trữ 128 GB Dung lượng còn lại 113 GB
/dtdd/iphone-15-pro,Kết nối Mạng di động Hỗ trợ 5G SIM 1 Nano SIM & 1 eSIM Bluetooth 5.3 Cổng kết nối sạc TypeC Jack tai nghe TypeC Kết nối khác NFC
/dtdd/iphone-15-pro,Pin  & Sạc Dung lượng pin 3274 mAh Loại pin Li-Ion Hỗ trợ sạc tối đa 20W Công nghệ Tiết kiệm pin Sạc pin nhanh Sạc không dây Tiết kiệm pin
